processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMNE42825-21	MZ971122	14275034	MZ971122	NA	Mined from GenBank, NCBI	NA	BOLD:AAC5394	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4159	Oncorhynchus	104300	Oncorhynchus masou	NA	NA	NA	NA	Brevoort, 1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNE77326-22	MT977033	16489215	NA	NA	Mined from GenBank, NCBI	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	88743	Coregonus sardinella	NA	NA	NA	NA	Valenciennes, 1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Russia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNE77345-22	MT980825	16489234	NA	NA	Mined from GenBank, NCBI	NA	BOLD:ACA5470	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	34582	Coregoninae	4154	Coregonus	88743	Coregonus sardinella	NA	NA	NA	NA	Valenciennes, 1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Russia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNE87259-22	ON934125	16499148	Fishec_48916	NA	Mined from GenBank, NCBI	NA	BOLD:AAB3872	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.2844	10.0892	NA	NA	NA	NA	NA	NA	Switzerland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNE87266-22	ON934132	16499155	Fishec_60595	NA	Mined from GenBank, NCBI	NA	BOLD:ABZ0871	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4160	Salvelinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.0341	8.3425	NA	NA	NA	NA	NA	NA	Switzerland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNF48053-22	OL494361	15413930	H370	OL494361	Mined from GenBank, NCBI	NA	BOLD:AAA3435	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	30453	Salmo salar	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNF48063-22	MW822304	15413940	JT4	MW822304	Mined from GenBank, NCBI	NA	BOLD:AAA3435	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	30453	Salmo salar	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNF48080-22	MW829369	15413957	RF5	MW829369	Mined from GenBank, NCBI	NA	BOLD:AAA3435	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	30453	Salmo salar	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBMNF48088-22	MW829632	15413965	YT9	MW829632	Mined from GenBank, NCBI	NA	BOLD:AAA3435	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	30453	Salmo salar	NA	NA	NA	NA	Linnaeus, 1758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GERFW386-13	SCEx01F5	3984448	ZFMK-ICH-58273	SC-12	Zoologisches Forschungsmuseum Alexander Koenig	NA	BOLD:AAB3872	18	Chordata	77	Actinopterygii	266	Salmoniformes	1340	Salmonidae	71162	Salmoninae	4156	Salmo	47318	Salmo trutta	NA	NA	Joerg Freyhof	morphological	Linnaeus, 1758	NA	Vouchered:Registered Collection	fin-clip	NA	Steinmann, Ennenbach	NA	NA	NA	NA	NA	NA	adult	U	S	NA	NA	NA	NA	NA	50.7823	7.21339	NA	NA	NA	NA	NA	NA	Germany	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
